Start Node,Target Node,Random Walk Nodes Visited,Shortest Path Nodes Visited
V1,V2,2,2
V4,V2,11,3
V7,V3,3,3
V6,V5,6,4
V3,V7,3,3
V5,V7,3,3
V2,V6,21,3
V1,V4,20,4
V5,V1,7,5
V5,V1,7,5
V5,V7,11,3
V3,V2,14,2
V7,V1,77,5
V6,V5,36,4
V3,V1,59,3
V4,V7,2,2
V5,V4,2,2
V3,V5,19,3
V2,V1,2,2
V1,V4,6,4
V4,V2,13,3
V1,V2,2,2
V4,V7,2,2
V1,V4,4,4
V5,V6,6,4
V1,V7,19,5
V2,V7,28,4
V6,V7,4,2
V7,V6,4,2
V3,V7,5,3
V4,V3,6,2
V1,V6,8,4
V5,V4,2,2
V4,V5,8,2
V1,V6,12,4
V3,V6,12,2
V3,V1,17,3
V7,V5,7,3
V7,V1,49,5
V4,V3,4,2
V2,V4,3,3
V5,V2,26,4
V7,V1,19,5
V3,V6,2,2
V2,V5,8,4
V4,V5,4,2
V6,V1,52,4
V6,V5,28,4
V3,V7,3,3
V1,V5,21,5
V3,V6,2,2
V6,V2,5,3
V7,V6,38,2
V3,V2,6,2
V6,V3,2,2
V2,V4,3,3
V3,V5,23,3
V7,V1,39,5
V6,V1,16,4
V7,V5,13,3
V3,V6,8,2
V6,V7,12,2
V7,V2,16,4
V6,V5,4,4
V7,V5,3,3
V4,V3,12,2
V1,V5,5,5
V6,V2,27,3
V6,V2,5,3
V3,V4,6,2
V3,V7,11,3
V5,V6,6,4
V7,V5,13,3
V2,V7,4,4
V6,V2,11,3
V6,V1,90,4
V4,V2,5,3
V6,V4,5,3
V2,V5,12,4
V1,V3,3,3
V1,V3,3,3
V5,V3,9,3
V5,V6,4,4
V3,V1,11,3
V5,V4,2,2
V4,V6,5,3
V7,V2,18,4
V5,V6,14,4
V4,V6,3,3
V3,V5,9,3
V7,V3,5,3
V7,V6,2,2
V2,V4,9,3
V7,V6,16,2
V7,V1,5,5
V7,V6,2,2
V2,V1,6,2
V7,V3,11,3
V4,V1,26,4
V2,V4,7,3
V2,V1,2,2
V2,V7,8,4
V5,V1,27,5
V1,V4,4,4
V7,V1,9,5
V6,V1,4,4
V1,V6,14,4
V5,V7,7,3
V6,V3,26,2
V7,V2,18,4
V3,V6,4,2
V7,V4,2,2
V3,V4,20,2
V1,V7,11,5
V6,V2,35,3
V7,V6,2,2
V5,V3,9,3
V7,V3,5,3
V6,V5,16,4
V4,V1,86,4
V4,V2,3,3
V6,V5,10,4
V3,V7,5,3
V2,V7,14,4
V1,V2,2,2
V3,V7,17,3
V2,V5,8,4
V4,V2,5,3
V4,V2,7,3
V1,V7,9,5
V6,V2,33,3
V6,V7,24,2
V6,V3,2,2
V6,V1,16,4
V5,V3,3,3
V7,V2,38,4
V1,V3,5,3
V5,V1,9,5
V1,V4,6,4
V6,V1,12,4
V5,V6,22,4
V5,V7,17,3
V7,V4,2,2
V3,V4,12,2
V4,V1,38,4
V7,V6,44,2
V1,V5,19,5
V4,V5,2,2
V7,V1,61,5
V3,V1,7,3
V4,V2,5,3
V5,V1,5,5
V1,V7,5,5
V1,V2,2,2
V2,V1,2,2
V1,V3,3,3
V1,V2,2,2
V7,V5,33,3
V4,V2,13,3
V7,V6,2,2
V7,V4,2,2
V5,V6,10,4
V6,V5,44,4
V3,V5,35,3
V6,V4,5,3
V1,V5,9,5
V7,V6,20,2
V2,V7,32,4
V1,V2,2,2
V1,V5,5,5
V7,V5,23,3
V2,V7,20,4
V3,V2,36,2
V2,V6,19,3
V7,V1,79,5
V3,V1,3,3
V3,V6,18,2
V7,V3,3,3
V4,V3,2,2
V1,V3,3,3
V5,V6,6,4
V1,V6,14,4
V1,V5,19,5
V3,V1,43,3
V6,V4,13,3
V7,V5,41,3
V6,V4,15,3
V4,V1,18,4
V7,V4,2,2
V3,V4,26,2
V4,V6,17,3
V5,V1,9,5
V6,V2,7,3
V3,V7,7,3
V6,V3,6,2
V5,V1,37,5
V4,V3,2,2
V5,V6,6,4
V3,V2,2,2
V4,V3,4,2
V4,V5,8,2
V6,V2,19,3
V7,V3,23,3
V6,V2,39,3
V4,V7,2,2
V4,V5,22,2
V6,V1,20,4
V2,V6,5,3
V3,V1,11,3
V6,V2,3,3
V2,V3,4,2
V5,V3,7,3
V2,V4,9,3
V6,V1,20,4
V7,V1,11,5
V2,V3,2,2
V3,V4,2,2
V7,V4,2,2
V4,V1,18,4
V3,V1,11,3
V1,V4,6,4
V6,V7,4,2
V2,V4,3,3
V4,V6,3,3
V3,V4,2,2
V7,V1,35,5
V2,V1,10,2
V5,V3,3,3
V2,V7,12,4
V4,V2,5,3
V4,V3,18,2
V2,V6,11,3
V5,V3,7,3
V1,V6,16,4
V5,V4,2,2
V1,V4,8,4
V3,V2,16,2
V4,V7,2,2
V3,V7,7,3
V2,V1,2,2
V6,V2,7,3
V6,V3,4,2
V4,V2,5,3
V2,V3,8,2
V1,V7,15,5
V1,V4,8,4
V7,V4,2,2
V3,V7,27,3
V4,V2,13,3
V2,V5,12,4
V7,V6,2,2
V5,V7,3,3
V6,V7,10,2
V1,V7,7,5
V1,V2,2,2
V6,V7,2,2
V2,V7,10,4
V4,V2,23,3
V6,V4,7,3
V6,V5,14,4
V6,V5,8,4
V3,V6,4,2
V6,V3,2,2
V2,V7,36,4
V1,V5,27,5
V2,V6,7,3
V3,V5,25,3
V2,V3,4,2
V5,V4,2,2
V2,V1,18,2
V7,V4,12,2
V3,V4,6,2
V6,V7,2,2
V6,V2,9,3
V6,V4,3,3
V6,V2,35,3
V6,V5,26,4
V7,V4,2,2
V3,V7,5,3
V6,V7,12,2
V2,V3,2,2
V6,V5,54,4
V6,V7,2,2
V5,V2,24,4
V1,V6,6,4
V6,V2,3,3
V1,V3,3,3
V5,V6,12,4
V7,V4,2,2
V6,V7,4,2
V2,V4,5,3
V3,V4,6,2
V4,V6,15,3
V5,V1,71,5
V1,V7,39,5
V6,V4,5,3
V7,V2,24,4
V6,V3,4,2
V7,V1,5,5
V4,V6,13,3
V7,V5,3,3
V6,V7,2,2
V1,V2,2,2
V2,V5,44,4
V1,V6,6,4
V3,V2,26,2
V5,V1,13,5
V2,V4,17,3
V2,V4,5,3
V6,V5,32,4
V7,V3,23,3
V6,V1,16,4
V7,V4,4,2
V5,V1,11,5
V3,V1,3,3
V7,V5,31,3
V3,V4,2,2
V4,V5,4,2
V7,V6,2,2
V2,V1,4,2
V5,V2,32,4
V4,V3,8,2
V1,V4,8,4
V6,V5,16,4
V1,V2,2,2
V3,V6,30,2
V7,V3,5,3
V3,V1,3,3
V6,V4,7,3
V5,V2,22,4
V4,V7,4,2
V7,V1,29,5
V6,V7,4,2
V6,V7,2,2
V4,V3,4,2
V2,V4,5,3
V4,V7,12,2
V7,V4,2,2
V7,V4,4,2
V2,V1,2,2
V4,V5,2,2
V3,V7,5,3
V2,V4,5,3
V5,V6,4,4
V3,V6,14,2
V6,V7,18,2
V5,V1,17,5
V4,V5,20,2
V4,V6,17,3
V6,V7,14,2
V2,V6,3,3
V3,V2,4,2
V4,V3,10,2
V6,V4,3,3
V1,V6,4,4
V5,V3,3,3
V2,V1,22,2
V1,V6,14,4
V6,V4,3,3
V3,V5,9,3
V6,V3,8,2
V3,V6,4,2
V2,V5,14,4
V1,V2,2,2
V3,V2,2,2
V3,V1,61,3
V5,V4,2,2
V2,V7,8,4
V5,V3,7,3
V5,V3,3,3
V7,V4,4,2
V5,V7,9,3
V5,V1,73,5
V7,V6,6,2
V1,V6,6,4
V7,V3,5,3
V6,V3,4,2
V6,V4,3,3
V5,V6,4,4
V4,V6,3,3
V3,V4,2,2
V6,V5,10,4
V4,V7,4,2
V1,V6,10,4
V3,V1,13,3
V4,V5,2,2
V6,V5,12,4
V1,V5,17,5
V3,V4,2,2
V1,V5,15,5
V7,V5,3,3
V4,V5,2,2
V6,V3,4,2
V5,V2,38,4
